Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
assault,10.21,5.0,2.0,0.0005772794086554801,0.22807017543859648,1.5538455137266745e-05,19,4.517716624689709e-05,0.32967032967032966,3.4285714285714284,7,2.8074943973090378e-05,14
assemble,8.72,7.0,3.0,5.550166091445021e-06,0.16666666666666666,1.6554516844621962e-05,4,2.7366638391840772e-05,0.4,4.666666666666667,3,1.8166140217882697e-05,10
assignment,7.0,8.0,3.0,4.6965928397317474e-05,0.3523809523809524,2.1323742899736098e-05,15,2.228971033429981e-05,0.2,2.0,6,9.9088037552093011e-06,6
assist,8.75,5.0,2.0,2.283125682169027e-06,0.5,2.2120113345855628e-05,5,6.277334379637032e-06,0.47619047619047616,2.7999999999999998,5,1.4863205632813928e-05,7
assistant,8.61,8.0,3.0,0.00024232266685487644,0.13333333333333333,2.5071165575340064e-05,15,1.1504284838877215e-05,0.5,3.0,2,6.6058691701398531e-06,4
associate,10.83,7.0,4.0,0.0012246801916180694,0.045584045584045586,4.576937303486257e-05,27,9.406697804338871e-05,0.22857142857142856,2.6666666666666665,9,2.4772009388022473e-05,15
assume,8.21,4.0,2.0,0.0006681151626593385,0.08615384615384615,1.5398013054789889e-05,26,0.0001322118762686855,0.17142857142857143,3.8888888888888888,9,4.2938149605904523e-05,21
atlas,7.9,5.0,2.0,0.00026200708307121893,0.2545454545454545,2.9179050017436827e-05,11,8.206393466367841e-10,0.16666666666666666,2.0,4,1.5370958200937734e-05,4
atmosphere,9.79,8.0,3.0,0.0002355253158269397,0.22794117647058823,3.2329213505745142e-05,17,5.8173153748649696e-05,0.17857142857142858,2.5,6,1.4863205632813742e-05,8
attach,6.39,4.0,2.0,0.0004715067783772595,0.12666666666666668,3.1084138225113087e-05,25,5.403405600965453e-06,0.42857142857142855,2.3999999999999999,5,1.1560271047743794e-05,7
attack,6.58,4.0,2.0,0.0005752016258727745,0.09581646423751687,4.4711877592348766e-05,39,0.00010156972588689031,0.1437908496732026,2.3999999999999999,15,3.4680813143229833e-05,18
attempt,7.7,6.0,2.0,1.8405654069075645e-05,0.16666666666666666,1.4151544695782511e-05,9,1.488233447634465e-05,0.28888888888888886,3.75,4,1.8166140217882812e-05,10
attend,7.72,5.0,2.0,0.0002870312584286395,0.11904761904761904,1.1174370355932608e-05,21,3.9317593829443914e-05,0.22727272727272727,3.3999999999999999,5,1.9817607510418324e-05,12
