Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
audience,7.0,6.0,3.0,9.052155602658896e-05,0.21666666666666667,2.541905928822046e-05,2.7375322589643355e-06,0.3333333333333333,1.75,4,4.9544018776046827e-06,3.0
aura,11.67,3.0,2.0,0.0003348439436450415,0.09803921568627451,2.1382331643646891e-05,5.441454275042134e-05,0.5238095238095238,3.3333333333333335,3,1.1560271047744627e-05,7.0
author,7.1,3.0,2.0,4.270909570832122e-05,0.3090909090909091,5.2288866729437148e-05,4.47642350803433e-06,0.3333333333333333,2.0,3,4.9544018776041643e-06,3.0
authority,7.5,7.0,4.0,0.0004915266969243847,0.11282051282051282,8.6896689523486989e-05,7.244776206472219e-05,0.26666666666666666,3.5714285714285716,7,2.9726411265628425e-05,18.0
average,8.9,5.0,2.3333333333333335,0.0004523348080814277,0.13105413105413105,0.00013236461431284665,8.330263230682457e-05,0.07272727272727272,2.0,12,1.9817607510416054e-05,12.0
avoid,8.5,4.0,2.0,0.00016781941983858782,0.17142857142857143,3.6941020820167514e-05,2.4920135482336736e-05,0.4583333333333333,4.2000000000000002,5,2.6423476680557176e-05,16.0
awake,4.67,4.0,2.0,0.00011895205972618706,0.2046783625730994,0.00071823706687078369,3.786526178762547e-05,0.5714285714285714,3.6666666666666665,3,1.321173834027744e-05,8.0
award,7.5,5.0,2.0,0.000276385655820528,0.14153846153846153,5.9889135729398256e-05,2.2493486733523426e-05,0.21428571428571427,2.6000000000000001,5,1.3211738340278083e-05,8.0
aware,6.75,4.0,2.0,0.0002704985368972982,0.1225296442687747,8.1148289287203692e-05,3.2825573865471363e-10,0.3333333333333333,2.5,2,1.2217625239725772e-05,3.0
awareness,9.3,7.0,3.0,0.0001170801926727101,0.11764705882352941,2.3923572182613418e-05,3.1927940916764126e-06,0.6,3.5,2,8.257336462674932e-06,5.0
awful,6.26,4.0,2.0,0.000110448800726278,0.2807017543859649,0.00012207815188496605,0.00017093967724976768,0.2553846153846154,5.1428571428571432,7,4.789255148350997e-05,29.0
awkward,8.58,5.0,2.0,0.00015925318495088177,0.11666666666666667,2.6284782058277913e-05,9.600653709116647e-05,0.25757575757575757,3.1666666666666665,6,2.1469074802957723e-05,13.0
baby,3.84,4.0,2.0,0.004256420048990558,0.02982456140350877,0.0014192297286090363,3.6977417255912475e-05,0.45454545454545453,2.625,8,2.1469074802952936e-05,13.0
backbone,6.95,6.0,2.0,5.158114667482461e-05,0.18181818181818182,3.1351479255669755e-05,6.804137397876718e-05,0.2857142857142857,4.2000000000000002,5,2.6423476680558247e-05,16.0
background,8.67,8.0,2.0,0.00013676029170513597,0.10833333333333334,2.5163036500113793e-05,4.4734312757467334e-05,0.07272727272727272,2.2222222222222223,9,1.8166140217883733e-05,11.0
backpack,5.38,6.0,2.0,0.0001414505396390948,0.22875816993464052,4.0946704498962691e-05,2.23788349827851e-05,0.6666666666666666,4.0,2,9.9088037552101481e-06,6.0
bacon,5.0,5.0,2.0,6.332369291318079e-05,0.2222222222222222,0.00011769550425759899,8.206393466367841e-10,0.6666666666666666,3.0,3,1.0939956590492072e-05,6.0
bad,2.79,3.0,1.0,0.01839707935032478,0.027822998372058604,0.0086910957512126435,0.00026363794091675146,0.05,2.0,17,2.8074943973079221e-05,17.0
bag,4.28,3.0,1.0,0.0010621633962707255,0.06976744186046512,0.00040895855826714037,8.392193406650865e-05,0.09523809523809523,2.0714285714285716,14,2.4772009388022182e-05,15.0
bait,7.11,3.0,1.0,7.658788681244594e-05,0.28888888888888886,4.2207983554252546e-05,4.6829261040126637e-05,0.49523809523809526,4.2000000000000002,5,2.6423476680557332e-05,16.0
balance,9.89,6.0,2.0,0.00014864588594849988,0.0661764705882353,6.1889235954382243e-05,8.46439423085162e-05,0.11333333333333333,2.6875,16,4.4589616898435224e-05,27.0
bald,7.26,4.0,1.0,7.942017630329119e-05,0.2,3.8337290623463591e-05,1.0634474543909368e-05,0.2,2.25,4,8.2573364626741747e-06,5.0
ball,2.9,3.0,1.0,0.0038154757242360353,0.04469413233458177,0.0016949421485899009,8.894695696660211e-05,0.23529411764705882,2.3076923076923075,13,2.8074943973093387e-05,17.0
ban,10.11,3.0,1.0,6.606925404118978e-05,0.16666666666666666,2.1589562834087136e-05,5.873079337085959e-05,0.2564102564102564,2.5555555555555554,9,2.3120542095487452e-05,14.0
band,6.16,4.0,1.0,0.0007976672953021944,0.10887949260042283,0.00019029904485118527,6.720224957984743e-05,0.14545454545454545,1.9333333333333333,15,2.3120542095488336e-05,14.0
bang,5.74,3.0,1.0,0.00024202231655274663,0.17391304347826086,0.00015298499045645128,0.0007130322360203412,0.28102836879432624,5.166666666666667,12,8.2573364626740921e-05,50.0
bank,6.44,4.0,1.0,0.0006725053874598322,0.05855855855855856,0.00042317988847937122,5.091365201727883e-05,0.1282051282051282,1.7222222222222223,18,2.1469074802953566e-05,13.0
banquet,8.35,7.0,2.0,0.00010629158752599288,0.3111111111111111,2.1120388089879881e-05,1.0994646488924387e-06,0.6666666666666666,2.75,4,1.1560271047743628e-05,7.0
bar,6.9,3.0,1.0,0.0014939710302898388,0.0420899854862119,0.00036946456589769742,0.00014988292469324214,0.10822510822510822,2.1578947368421053,19,3.633228043576603e-05,22.0
bargain,8.72,6.0,2.0,7.786944919744214e-05,0.25146198830409355,4.9933312195511445e-05,1.3135938204504263e-05,0.16666666666666666,2.0,4,6.6058691701394448e-06,4.0
